District / City,New Wheat Minimum Rate,New Wheat Maximum Rate
🌾Punjab,,
ArifWala(عارف والا),"3,640 PKR","4,685 PKR"
Ali Pur(علی پور),"3,670 PKR","4,680 PKR"
A.Pur Sharqia(احمد پور شرقیہ),"3,650 PKR","4,690 PKR"
Bahawalnagar(بہاولنگر),"3,600 PKR","4,690 PKR"
Bahawalpur(بہاولپور),"3,620 PKR","4,670 PKR"
Bhakkar(بکھر),"3,660 PKR","4,600 PKR"
Burewala(بورےوالا),"3,600 PKR","4,670 PKR"
Chichawatni(چیچہ وطنی),"3,620 PKR","4,680 PKR"
Chishtian(چشتیاں),"3,680 PKR","4,625 PKR"
Chowk Azam(چوک اعظم),"3,640 PKR","4,610 PKR"
Chakwal(چکوال),"3,660 PKR","4,680 PKR"
Chowk Munda(چوک مُنڈا),"3,660 PKR","4,670 PKR"
Dera Ghazi Khan(ڈیرہ غازی خان),"3,650 PKR","4,690 PKR"
D. I. Khan(ڈیرہ اسماعیل خان),"3,660 PKR","4,680 PKR"
Dunga Bunga(ڈنگہ بونگہ),"3,610 PKR","4,650 PKR"
Dunya Pur (دنیاپور),"3,670 PKR","4,690 PKR"
Faisalabad(فیصل آباد),"3,660 PKR","4,680 PKR"
Faqirwali(فقیروالی),"3,630 PKR","4,670 PKR"
Fazil Pur(فضل پور),"3,680 PKR","4,670 PKR"
Fortabbas(فورٹ عباس),"3,640 PKR","4,690 PKR"
Gujranwala(گوجرانوالہ),"3,600 PKR","4,670 PKR"
Haroonabad(ہارون آباد),"3,610 PKR","4,680 PKR"
Hasilpur(حاصل پور),"3,630 PKR","4,610 PKR"
Islamabad(اسلام آباد),"3,600 PKR","4,600 PKR"
Kahror Pakka(کہروڑپکّا),"3,660 PKR","4,660 PKR"
Khanpur(خان پور),"3,660 PKR","4,610 PKR"
khanewal (خانیوال),"3,640 PKR","4,620 PKR"
Layyah(لیہ),"3,670 PKR","4,620 PKR"
Lahore(لاہور),"3,650 PKR","4,640 PKR"
Lodhran(لودھراں),"3,630 PKR","4,690 PKR"
Maroot(مروٹ),"3,650 PKR","4,600 PKR"
Multan(ملتان),"3,650 PKR","4,640 PKR"
Mianwali(میانوالی),"3,650 PKR","4,610 PKR"
Mian Channu(میاں چنّوں),"3,650 PKR","4,620 PKR"
Minchanabad(منچن آباد),"3,620 PKR","4,680 PKR"
Muzaffargarh(مظفر گڑھ),"3,670 PKR","4,690 PKR"
Malsi(میلسی),"3,650 PKR","4,680 PKR"
Okara(اوکاڑہ),"3,660 PKR","4,680 PKR"
Pattoki(پتّوکی),"3,670 PKR","4,680 PKR"
Pakpattan Sharif (پاک پتن),"3,630 PKR","4,600 PKR"
Rahim Yar Khan(رحیم یار خان),"3,640 PKR","4,620 PKR"
Rajanpur(راجن پور),"3,650 PKR","4,660 PKR"
Rawalpindi (راولپنڈی),"3,600 PKR","4,600 PKR"
Sadiqabad (صادق آباد),"3,690 PKR","4,640 PKR"
Sahiwal(ساہیوال),"3,690 PKR","4,630 PKR"
Sargodha (سرگودھا),"3,690 PKR","4,620 PKR"
Sheikhupura (شیخوپورہ),"3,600 PKR","4,690 PKR"
Toba Tek Singh (ٹوبہ ٹیک سنگھ),"3,650 PKR","4,600 PKR"
Vehari (وہاڑی),"3,650 PKR","4,610 PKR"
Yazman Mandi (یزمان),"3,620 PKR","4,675 PKR"
